t,o,h,l,c,v,s
1735693620,191.44,191.54,191.4,191.53,114,SOL_USDT
1735693680,2.1036,2.1038,2.1025,2.1026,77,XRP_USDT
1735693680,93960.8,93969,93950,93964.1,39614,BTC_USDT
1735693680,191.53,191.61,191.43,191.52,361,SOL_USDT
1735693680,0.31946,0.31949,0.31929,0.31932,28466,DOGE_USDT
1735693680,3356.7,3357.05,3355.4,3356.15,2013,ETH_USDT
1735693740,191.49,191.72,191.43,191.72,158,SOL_USDT
1735693740,3355.9,3359.6,3355,3359.25,10326,ETH_USDT
1735693740,93967.9,94054.3,93929.5,94047.9,48667,BTC_USDT
1735693740,2.1022,2.1063,2.1022,2.1062,619,XRP_USDT
1735693740,0.31932,0.31962,0.31919,0.3196,13633,DOGE_USDT
1735693800,191.69,191.91,191.68,191.73,357,SOL_USDT
1735693800,2.1061,2.1075,2.1049,2.1049,683,XRP_USDT
1735693800,94051.9,94099.2,94051.3,94064.7,89358,BTC_USDT
1735693800,0.3196,0.31988,0.3196,0.3196,34430,DOGE_USDT
1735693800,3359.35,3360.95,3357.65,3358.05,11905,ETH_USDT
1735693860,2.1056,2.1059,2.1036,2.1051,1130,XRP_USDT
1735693860,0.31965,0.31971,0.3195,0.31965,266848,DOGE_USDT
1735693860,3358.15,3359.45,3357.9,3359.15,4765,ETH_USDT
1735693860,94067.5,94093.5,94055.4,94086.8,50780,BTC_USDT
1735693860,191.73,191.84,191.73,191.79,141,SOL_USDT
1735693920,0.31963,0.31997,0.3196,0.31997,11948,DOGE_USDT
1735693920,94086.7,94167.3,94080.4,94130,138238,BTC_USDT
1735693920,191.72,191.86,191.64,191.66,718,SOL_USDT
1735693920,2.1044,2.1057,2.1044,2.1052,662,XRP_USDT
1735693920,3359.15,3361.1,3358.6,3360.65,7741,ETH_USDT
1735693980,3360.7,3362.1,3360.25,3360.3,8419,ETH_USDT
1735693980,0.31998,0.32018,0.31982,0.3199,15518,DOGE_USDT
1735693980,2.106,2.1077,2.1045,2.1045,973,XRP_USDT
1735693980,94130,94148.9,94120,94120.2,28633,BTC_USDT
1735693980,191.71,191.72,191.53,191.62,473,SOL_USDT
1735694040,2.1043,2.1043,2.1039,2.1039,22,XRP_USDT
1735694040,3360.3,3360.6,3360,3360.1,9398,ETH_USDT
1735694040,191.61,191.61,191.59,191.59,68,SOL_USDT
1735694040,0.3199,0.31992,0.31975,0.31975,15418,DOGE_USDT
1735694040,94120.2,94138.5,94120.1,94123.6,36559,BTC_USDT
1735694100,3360.05,3360.1,3356.4,3357.1,13119,ETH_USDT
1735694100,0.31974,0.31974,0.31935,0.3194,19585,DOGE_USDT
1735694100,2.1039,2.1041,2.1016,2.102,778,XRP_USDT
1735694100,191.52,191.54,191.28,191.29,1583,SOL_USDT
1735694100,94123.6,94123.7,94041.8,94048.4,88343,BTC_USDT
1735694160,2.1021,2.1021,2.0992,2.1,518,XRP_USDT
1735694160,0.31938,0.31938,0.31859,0.319,285520,DOGE_USDT
1735694160,191.29,191.29,191.13,191.22,330,SOL_USDT
1735694160,3356.65,3356.65,3354.85,3356.05,5469,ETH_USDT
1735694160,94042.9,94043,93968,93987.9,104714,BTC_USDT
1735694220,0.31894,0.31894,0.3187,0.31881,10997,DOGE_USDT
1735694220,191.14,191.14,190.91,190.95,797,SOL_USDT
1735694220,93987.8,93987.8,93956.7,93962.3,45203,BTC_USDT
1735694220,3356.25,3356.25,3353.85,3354.15,10340,ETH_USDT
1735694220,2.0998,2.1,2.0988,2.0994,566,XRP_USDT
